receipt_id,invoice_id,period,amount_cents
RCT-01-0117,INV-01-0117,2023-09,1442886
RCT-01-0118,INV-01-0118,2023-09,1442886
RCT-01-0119,INV-01-0119,2023-09,1442886
RCT-01-0120,INV-01-0120,2023-09,1442886
RCT-01-0121,INV-01-0121,2023-09,1442886
RCT-01-0122,INV-01-0122,2023-09,1442886
RCT-01-0123,INV-01-0123,2023-09,1442886
RCT-01-0124,INV-01-0124,2023-09,1442886
RCT-01-0125,INV-01-0125,2023-09,1442886
RCT-01-0126,INV-01-0126,2023-09,1442886
RCT-01-0127,INV-01-0127,2023-09,1442886
RCT-01-0128,INV-01-0128,2023-09,1442886
RCT-01-0129,INV-01-0129,2023-09,1442886
RCT-01-0130,INV-01-0130,2023-09,1442886
RCT-01-0131,INV-01-0131,2023-09,1442886
RCT-01-0132,INV-01-0132,2023-09,1442886
RCT-01-0133,INV-01-0133,2023-09,1442886
RCT-01-0134,INV-01-0134,2023-09,1442886
RCT-01-0135,INV-01-0135,2023-09,1442886
RCT-01-0136,INV-01-0136,2023-09,1442886
RCT-01-0137,INV-01-0137,2023-09,1442886
RCT-01-0138,INV-01-0138,2023-09,1442886
RCT-01-0139,INV-01-0139,2023-09,1442886
RCT-01-0140,INV-01-0140,2023-09,1442886
RCT-01-0141,INV-01-0141,2023-09,1442886
RCT-01-0142,INV-01-0142,2023-09,1442886
RCT-01-0143,INV-01-0143,2023-09,1442886
RCT-01-0144,INV-01-0144,2023-09,1442886
RCT-01-0145,INV-01-0145,2023-09,1442886
RCT-01-0146,INV-01-0146,2023-09,1442886
RCT-01-0147,INV-01-0147,2023-09,1442886
RCT-01-0148,INV-01-0148,2023-09,1442886
RCT-01-0149,INV-01-0149,2023-09,1442886
RCT-01-0150,INV-01-0150,2023-09,1442886
RCT-01-0151,INV-01-0151,2023-09,1442886
RCT-01-0152,INV-01-0152,2023-09,1442886
RCT-01-0153,INV-01-0153,2023-09,1442886
RCT-01-0154,INV-01-0154,2023-09,1442886
RCT-01-0155,INV-01-0155,2023-09,1442886
RCT-01-0156,INV-01-0156,2023-09,1442886
RCT-01-0157,INV-01-0157,2023-09,1442886
RCT-01-0158,INV-01-0158,2023-09,1442886
RCT-01-0159,INV-01-0159,2023-09,1442886
RCT-01-0160,INV-01-0160,2023-09,1442886
RCT-01-0161,INV-01-0161,2023-09,1442886
RCT-01-0162,INV-01-0162,2023-09,1442886
RCT-01-0163,INV-01-0163,2023-09,1442886
RCT-01-0164,INV-01-0164,2023-09,1442886
RCT-01-0165,INV-01-0165,2023-09,1442886
RCT-01-0166,INV-01-0166,2023-09,1442886
RCT-01-0167,INV-01-0167,2023-09,1442886
RCT-01-0168,INV-01-0168,2023-09,1442886
RCT-01-0169,INV-01-0169,2023-09,1442886
RCT-01-0170,INV-01-0170,2023-09,1442886
RCT-01-0171,INV-01-0171,2023-09,1442886
RCT-01-0172,INV-01-0172,2023-09,1442886
RCT-01-0173,INV-01-0173,2023-09,1442886
RCT-01-0174,INV-01-0174,2023-09,1442886
RCT-01-0175,INV-01-0175,2023-09,1442886
RCT-01-0176,INV-01-0176,2023-09,1442886
RCT-01-0177,INV-01-0177,2023-09,1442886
RCT-01-0178,INV-01-0178,2023-09,1442886
RCT-01-0179,INV-01-0179,2023-09,1442886
RCT-01-0180,INV-01-0180,2023-09,1442886
RCT-01-0181,INV-01-0181,2023-09,1442886
RCT-01-0182,INV-01-0182,2023-09,1442886
RCT-01-0183,INV-01-0183,2023-09,1442886
RCT-01-0184,INV-01-0184,2023-09,1442886
RCT-01-0185,INV-01-0185,2023-09,1442886
RCT-01-0186,INV-01-0186,2023-09,1442886
RCT-01-0187,INV-01-0187,2023-09,1442886
RCT-01-0188,INV-01-0188,2023-09,1442886
RCT-01-0189,INV-01-0189,2023-09,1442886
RCT-01-0190,INV-01-0190,2023-09,1442886
RCT-01-0191,INV-01-0191,2023-09,1442886
RCT-01-0192,INV-01-0192,2023-09,1442886
RCT-01-0193,INV-01-0193,2023-09,1442886
RCT-01-0194,INV-01-0194,2023-09,1442886
RCT-01-0195,INV-01-0195,2023-09,1442886
RCT-01-0196,INV-01-0196,2023-09,1442886
RCT-01-0197,INV-01-0197,2023-09,1442886
RCT-01-0198,INV-01-0198,2023-09,1442886
RCT-01-0199,INV-01-0199,2023-09,1442886
RCT-01-0200,INV-01-0200,2023-09,1442886
RCT-01-0201,INV-01-0201,2023-09,1442886
RCT-01-0202,INV-01-0202,2023-09,1442886
RCT-01-0203,INV-01-0203,2023-09,1442886
RCT-01-0204,INV-01-0204,2023-09,1442886
RCT-01-0205,INV-01-0205,2023-09,1442886
RCT-01-0206,INV-01-0206,2023-09,1442886
RCT-01-0207,INV-01-0207,2023-09,1442886
RCT-01-0208,INV-01-0208,2023-09,1442886
RCT-01-0209,INV-01-0209,2023-09,1442886
RCT-01-0210,INV-01-0210,2023-09,1442886
RCT-01-0211,INV-01-0211,2023-09,1442886
RCT-01-0212,INV-01-0212,2023-09,1442886
RCT-01-0213,INV-01-0213,2023-09,1442886
RCT-01-0214,INV-01-0214,2023-09,1442886
RCT-01-0215,INV-01-0215,2023-09,1442886
RCT-01-0216,INV-01-0216,2023-09,1442886
RCT-01-0217,INV-01-0217,2023-09,1442886
RCT-01-0218,INV-01-0218,2023-09,1442886
RCT-01-0219,INV-01-0219,2023-09,1442886
RCT-01-0220,INV-01-0220,2023-09,1442886
RCT-01-0221,INV-01-0221,2023-09,1442886
RCT-01-0222,INV-01-0222,2023-09,1442886
RCT-01-0223,INV-01-0223,2023-09,1442886
RCT-01-0224,INV-01-0224,2023-09,1442886
RCT-01-0225,INV-01-0225,2023-09,1442886
RCT-01-0226,INV-01-0226,2023-09,1442886
RCT-01-0227,INV-01-0227,2023-09,1442886
RCT-01-0228,INV-01-0228,2023-09,1442886
RCT-01-0229,INV-01-0229,2023-09,1442886
RCT-01-0230,INV-01-0230,2023-09,1442886
RCT-01-0231,INV-01-0231,2023-09,1442886
RCT-01-0232,INV-01-0232,2023-09,1442886
RCT-01-0233,INV-01-0233,2023-09,1442886
RCT-01-0234,INV-01-0234,2023-09,1442886
RCT-01-0235,INV-01-0235,2023-09,1442886
RCT-01-0236,INV-01-0236,2023-09,1442886
RCT-01-0237,INV-01-0237,2023-09,1442886
RCT-01-0238,INV-01-0238,2023-09,1442886
RCT-01-0239,INV-01-0239,2023-09,1442886
RCT-01-0240,INV-01-0240,2023-09,1442886
RCT-01-0241,INV-01-0241,2023-09,1442886
RCT-01-0242,INV-01-0242,2023-09,1442886
RCT-01-0243,INV-01-0243,2023-09,1442886
RCT-01-0244,INV-01-0244,2023-09,1442886
RCT-01-0245,INV-01-0245,2023-09,1442886
RCT-01-0246,INV-01-0246,2023-09,1442886
RCT-01-0247,INV-01-0247,2023-09,1442886
RCT-01-0248,INV-01-0248,2023-09,1442886
RCT-01-0249,INV-01-0249,2023-09,1442886
RCT-01-0250,INV-01-0250,2023-09,1442886
RCT-01-0251,INV-01-0251,2023-09,1442886
RCT-01-0252,INV-01-0252,2023-09,1442886
RCT-01-0253,INV-01-0253,2023-09,1442886
RCT-01-0254,INV-01-0254,2023-09,1442886
RCT-01-0255,INV-01-0255,2023-09,1442886
RCT-01-0256,INV-01-0256,2023-09,1442886
RCT-01-0257,INV-01-0257,2023-09,1442886
RCT-01-0258,INV-01-0258,2023-09,1442886
RCT-01-0259,INV-01-0259,2023-09,1442886
RCT-01-0260,INV-01-0260,2023-09,1442886
RCT-01-0261,INV-01-0261,2023-09,1442886
RCT-01-0262,INV-01-0262,2023-09,1442886
RCT-01-0263,INV-01-0263,2023-09,1442886
RCT-01-0264,INV-01-0264,2023-09,1442886
RCT-01-0265,INV-01-0265,2023-09,1442886
RCT-01-0266,INV-01-0266,2023-09,1442886
RCT-01-0267,INV-01-0267,2023-09,1442886
RCT-01-0268,INV-01-0268,2023-09,1442886
RCT-01-0269,INV-01-0269,2023-09,1442886
RCT-01-0270,INV-01-0270,2023-09,1442886
RCT-01-0271,INV-01-0271,2023-09,1442886
RCT-01-0272,INV-01-0272,2023-09,1442886
RCT-01-0273,INV-01-0273,2023-09,1442886
RCT-01-0274,INV-01-0274,2023-09,1442886
RCT-01-0275,INV-01-0275,2023-09,1442886
RCT-01-0276,INV-01-0276,2023-09,1442886
RCT-01-0277,INV-01-0277,2023-09,1442886
RCT-01-0278,INV-01-0278,2023-09,1442886
RCT-01-0279,INV-01-0279,2023-09,1442886
RCT-01-0280,INV-01-0280,2023-09,1442886
RCT-01-0281,INV-01-0281,2023-09,1442886
RCT-01-0282,INV-01-0282,2023-09,1442886
RCT-01-0283,INV-01-0283,2023-09,1442886
RCT-01-0284,INV-01-0284,2023-09,1442886
RCT-01-0285,INV-01-0285,2023-09,1442886
RCT-01-0286,INV-01-0286,2023-09,1442886
RCT-01-0287,INV-01-0287,2023-09,1442886
RCT-01-0288,INV-01-0288,2023-09,1442886
RCT-01-0289,INV-01-0289,2023-09,1442886
RCT-01-0290,INV-01-0290,2023-09,1442886
RCT-01-0291,INV-01-0291,2023-09,1442886
RCT-01-0292,INV-01-0292,2023-09,1442886
RCT-01-0293,INV-01-0293,2023-09,1442886
RCT-01-0294,INV-01-0294,2023-09,1442886
RCT-01-0295,INV-01-0295,2023-09,1442886
RCT-01-0296,INV-01-0296,2023-09,1442886
RCT-01-0297,INV-01-0297,2023-09,1442886
RCT-01-0298,INV-01-0298,2023-09,1442886
RCT-01-0299,INV-01-0299,2023-09,1442886
RCT-01-0300,INV-01-0300,2023-09,1442886
RCT-01-0301,INV-01-0301,2023-09,1442886
RCT-01-0302,INV-01-0302,2023-09,1442886
RCT-01-0303,INV-01-0303,2023-09,1442886
RCT-01-0304,INV-01-0304,2023-09,1442886
RCT-01-0305,INV-01-0305,2023-09,1442886
RCT-01-0306,INV-01-0306,2023-09,1442886
RCT-01-0307,INV-01-0307,2023-09,1442886
RCT-01-0308,INV-01-0308,2023-09,1442886
RCT-01-0309,INV-01-0309,2023-09,1442886
RCT-01-0310,INV-01-0310,2023-09,1442886
RCT-01-0311,INV-01-0311,2023-09,1442885
RCT-01-0312,INV-01-0312,2023-09,1442885
RCT-01-0313,INV-01-0313,2023-09,1442885
RCT-01-0314,INV-01-0314,2023-09,1442885
RCT-01-0315,INV-01-0315,2023-09,1442885
RCT-01-0316,INV-01-0316,2023-09,1442885
RCT-01-0317,INV-01-0317,2023-09,1442885
RCT-01-0318,INV-01-0318,2023-09,1442885
RCT-01-0319,INV-01-0319,2023-09,1442885
RCT-01-0320,INV-01-0320,2023-09,1442885
RCT-01-0321,INV-01-0321,2023-09,1442885
RCT-01-0322,INV-01-0322,2023-09,1442885
RCT-01-0323,INV-01-0323,2023-09,1442885
RCT-01-0324,INV-01-0324,2023-09,1442885
RCT-01-0325,INV-01-0325,2023-09,1442885
RCT-01-0326,INV-01-0326,2023-09,1442885
RCT-01-0327,INV-01-0327,2023-09,1442885
RCT-01-0328,INV-01-0328,2023-09,1442885
RCT-01-0329,INV-01-0329,2023-09,1442885
RCT-01-0330,INV-01-0330,2023-09,1442885
RCT-01-0331,INV-01-0331,2023-09,1442885
RCT-01-0332,INV-01-0332,2023-09,1442885
RCT-01-0333,INV-01-0333,2023-09,1442885
RCT-01-0334,INV-01-0334,2023-09,1442885
RCT-01-0335,INV-01-0335,2023-09,1442885
RCT-01-0336,INV-01-0336,2023-09,1442885
RCT-01-0337,INV-01-0337,2023-09,1442885
RCT-01-0338,INV-01-0338,2023-09,1442885
RCT-01-0339,INV-01-0339,2023-09,1442885
RCT-01-0340,INV-01-0340,2023-09,1442885
RCT-01-0341,INV-01-0341,2023-09,1442885
RCT-01-0342,INV-01-0342,2023-09,1442885
RCT-01-0343,INV-01-0343,2023-09,1442885
RCT-01-0344,INV-01-0344,2023-09,1442885
RCT-01-0345,INV-01-0345,2023-09,1442885
RCT-01-0346,INV-01-0346,2023-09,1442885
RCT-01-0347,INV-01-0347,2023-09,1442885
RCT-01-0348,INV-01-0348,2023-09,1442885
RCT-01-0349,INV-01-0349,2023-09,1442885
RCT-01-0350,INV-01-0350,2023-09,1442885
RCT-01-0351,INV-01-0351,2023-09,1442885
RCT-01-0352,INV-01-0352,2023-09,1442885
RCT-01-0353,INV-01-0353,2023-09,1442885
RCT-01-0354,INV-01-0354,2023-09,1442885
RCT-01-0355,INV-01-0355,2023-09,1442885
RCT-01-0356,INV-01-0356,2023-09,1442885
RCT-01-0357,INV-01-0357,2023-09,1442885
RCT-01-0358,INV-01-0358,2023-09,1442885
RCT-01-0359,INV-01-0359,2023-09,1442885
RCT-01-0360,INV-01-0360,2023-09,1442885
RCT-01-0361,INV-01-0361,2023-09,1442885
RCT-01-0362,INV-01-0362,2023-09,1442885
RCT-01-0363,INV-01-0363,2023-09,1442885
RCT-01-0364,INV-01-0364,2023-09,1442885
RCT-01-0365,INV-01-0365,2023-09,1442885
RCT-01-0366,INV-01-0366,2023-09,1442885
RCT-01-0367,INV-01-0367,2023-09,1442885
RCT-01-0368,INV-01-0368,2023-09,1442885
RCT-01-0369,INV-01-0369,2023-09,1442885
RCT-01-0370,INV-01-0370,2023-09,1442885
RCT-01-0371,INV-01-0371,2023-09,1442885
RCT-01-0372,INV-01-0372,2023-09,1442885
RCT-01-0373,INV-01-0373,2023-09,1442885
RCT-01-0374,INV-01-0374,2023-09,1442885
RCT-01-0375,INV-01-0375,2023-09,1442885
RCT-01-0376,INV-01-0376,2023-09,1442885
RCT-01-0377,INV-01-0377,2023-09,1442885
RCT-01-0378,INV-01-0378,2023-09,1442885
RCT-01-0379,INV-01-0379,2023-09,1442885
RCT-01-0380,INV-01-0380,2023-09,1442885
RCT-01-0381,INV-01-0381,2023-09,1442885
RCT-01-0382,INV-01-0382,2023-09,1442885
RCT-01-0383,INV-01-0383,2023-09,1442885
RCT-01-0384,INV-01-0384,2023-09,1442885
RCT-01-0385,INV-01-0385,2023-09,1442885
RCT-01-0386,INV-01-0386,2023-09,1442885
RCT-01-0387,INV-01-0387,2023-09,1442885
RCT-01-0388,INV-01-0388,2023-09,1442885
RCT-01-0389,INV-01-0389,2023-09,1442885
RCT-01-0390,INV-01-0390,2023-09,1442885
RCT-01-0391,INV-01-0391,2023-09,1442885
RCT-01-0392,INV-01-0392,2023-09,1442885
RCT-01-0393,INV-01-0393,2023-09,1442885
RCT-01-0394,INV-01-0394,2023-09,1442885
RCT-01-0395,INV-01-0395,2023-09,1442885
RCT-01-0396,INV-01-0396,2023-09,1442885
RCT-01-0397,INV-01-0397,2023-09,1442885
RCT-01-0398,INV-01-0398,2023-09,1442885
RCT-01-0399,INV-01-0399,2023-09,1442885
RCT-01-0400,INV-01-0400,2023-09,1442885
RCT-01-0401,INV-01-0401,2023-09,1442885
RCT-01-0402,INV-01-0402,2023-09,1442885
RCT-01-0403,INV-01-0403,2023-09,1442885
RCT-01-0404,INV-01-0404,2023-09,1442885
RCT-01-0405,INV-01-0405,2023-09,1442885
RCT-01-0406,INV-01-0406,2023-09,1442885
RCT-01-0407,INV-01-0407,2023-09,1442885
RCT-01-0408,INV-01-0408,2023-09,1442885
RCT-01-0409,INV-01-0409,2023-09,1442885
RCT-01-0410,INV-01-0410,2023-09,1442885
RCT-01-0411,INV-01-0411,2023-09,1442885
RCT-01-0412,INV-01-0412,2023-09,1442885
RCT-01-0413,INV-01-0413,2023-09,1442885
RCT-01-0414,INV-01-0414,2023-09,1442885
RCT-01-0415,INV-01-0415,2023-09,1442885
RCT-01-0416,INV-01-0416,2023-09,1442885
RCT-01-0417,INV-01-0417,2023-09,1442885
RCT-01-0418,INV-01-0418,2023-09,1442885
RCT-01-0419,INV-01-0419,2023-09,1442885
RCT-01-0420,INV-01-0420,2023-09,1442885
RCT-01-0421,INV-01-0421,2023-09,1442885
RCT-01-0422,INV-01-0422,2023-09,1442885
RCT-01-0423,INV-01-0423,2023-09,1442885
RCT-01-0424,INV-01-0424,2023-09,1442885
RCT-01-0425,INV-01-0425,2023-09,1442885
RCT-01-0426,INV-01-0426,2023-09,1442885
RCT-01-0427,INV-01-0427,2023-09,1442885
RCT-01-0428,INV-01-0428,2023-09,1442885
RCT-01-0429,INV-01-0429,2023-09,1442885
RCT-01-0430,INV-01-0430,2023-09,1442885
RCT-01-0431,INV-01-0431,2023-09,1442885
RCT-01-0432,INV-01-0432,2023-09,1442885
RCT-01-0433,INV-01-0433,2023-09,1442885
RCT-01-0434,INV-01-0434,2023-09,1442885
RCT-01-0435,INV-01-0435,2023-09,1442885
RCT-01-0436,INV-01-0436,2023-09,1442885
RCT-01-0437,INV-01-0437,2023-09,1442885
RCT-01-0438,INV-01-0438,2023-09,1442885
RCT-01-0439,INV-01-0439,2023-09,1442885
RCT-01-0440,INV-01-0440,2023-09,1442885
RCT-01-0441,INV-01-0441,2023-09,1442885
RCT-01-0442,INV-01-0442,2023-09,1442885
RCT-01-0443,INV-01-0443,2023-09,1442885
RCT-01-0444,INV-01-0444,2023-09,1442885
RCT-01-0445,INV-01-0445,2023-09,1442885
RCT-01-0446,INV-01-0446,2023-09,1442885
RCT-01-0447,INV-01-0447,2023-09,1442885
RCT-01-0448,INV-01-0448,2023-09,1442885
RCT-01-0449,INV-01-0449,2023-09,1442885
RCT-01-0450,INV-01-0450,2023-09,1442885
RCT-01-0451,INV-01-0451,2023-09,1442885
RCT-01-0452,INV-01-0452,2023-09,1442885
RCT-01-0453,INV-01-0453,2023-09,1442885
RCT-01-0454,INV-01-0454,2023-09,1442885
RCT-01-0455,INV-01-0455,2023-09,1442885
RCT-01-0456,INV-01-0456,2023-09,1442885
RCT-01-0457,INV-01-0457,2023-09,1442885
RCT-01-0458,INV-01-0458,2023-09,1442885
RCT-01-0459,INV-01-0459,2023-09,1442885
RCT-01-0460,INV-01-0460,2023-09,1442885
RCT-01-0461,INV-01-0461,2023-09,1442885
RCT-01-0462,INV-01-0462,2023-09,1442885
RCT-01-0463,INV-01-0463,2023-09,1442885
RCT-01-0464,INV-01-0464,2023-09,1442885
RCT-01-0465,INV-01-0465,2023-09,1442885
RCT-01-0466,INV-01-0466,2023-09,1442885
RCT-01-0467,INV-01-0467,2023-09,1442885
RCT-01-0468,INV-01-0468,2023-09,1442885
RCT-01-0469,INV-01-0469,2023-09,1442885
RCT-01-0470,INV-01-0470,2023-09,1442885
RCT-01-0471,INV-01-0471,2023-09,1442885
RCT-01-0472,INV-01-0472,2023-09,1442885
RCT-01-0473,INV-01-0473,2023-09,1442885
RCT-01-0474,INV-01-0474,2023-09,1442885
RCT-01-0475,INV-01-0475,2023-09,1442885
RCT-01-0476,INV-01-0476,2023-09,1442885
RCT-01-0477,INV-01-0477,2023-09,1442885
RCT-01-0478,INV-01-0478,2023-09,1442885
RCT-01-0479,INV-01-0479,2023-09,1442885
RCT-01-0480,INV-01-0480,2023-09,1442885
RCT-01-0481,INV-01-0481,2023-09,1442885
RCT-01-0482,INV-01-0482,2023-09,1442885
RCT-01-0483,INV-01-0483,2023-09,1442885
RCT-01-0484,INV-01-0484,2023-09,1442885
RCT-01-0485,INV-01-0485,2023-09,1442885
RCT-01-0486,INV-01-0486,2023-09,1442885
RCT-01-0487,INV-01-0487,2023-09,1442885
RCT-01-0488,INV-01-0488,2023-09,1442885
RCT-01-0489,INV-01-0489,2023-09,1442885
RCT-01-0490,INV-01-0490,2023-09,1442885
RCT-01-0491,INV-01-0491,2023-09,1442885
RCT-01-0492,INV-01-0492,2023-09,1442885
RCT-01-0493,INV-01-0493,2023-09,1442885
RCT-01-0494,INV-01-0494,2023-09,1442885
RCT-01-0495,INV-01-0495,2023-09,1442885
RCT-01-0496,INV-01-0496,2023-09,1442885
RCT-01-0497,INV-01-0497,2023-09,1442885
RCT-01-0498,INV-01-0498,2023-09,1442885
RCT-01-0499,INV-01-0499,2023-09,1442885
RCT-01-0500,INV-01-0500,2023-09,1442885
RCT-01-SVC,INV-01-SVC,2023-09,109999999
RCT-02-0001,INV-02-0001,2023-10,183000000
RCT-02-0002,INV-02-0002,2023-10,1466934
RCT-02-0003,INV-02-0003,2023-10,1466934
RCT-02-0004,INV-02-0004,2023-10,1466934
RCT-02-0005,INV-02-0005,2023-10,1466934
RCT-02-0006,INV-02-0006,2023-10,1466934
RCT-02-0007,INV-02-0007,2023-10,1466934
RCT-02-0008,INV-02-0008,2023-10,1466934
RCT-02-0009,INV-02-0009,2023-10,1466934
RCT-02-0010,INV-02-0010,2023-10,1466934
RCT-02-0011,INV-02-0011,2023-10,1466934
RCT-02-0012,INV-02-0012,2023-10,1466934
RCT-02-0013,INV-02-0013,2023-10,1466934
RCT-02-0014,INV-02-0014,2023-10,1466934
RCT-02-0015,INV-02-0015,2023-10,1466934
RCT-02-0016,INV-02-0016,2023-10,1466934
RCT-02-0017,INV-02-0017,2023-10,1466934
RCT-02-0018,INV-02-0018,2023-10,1466934
RCT-02-0019,INV-02-0019,2023-10,1466934
RCT-02-0020,INV-02-0020,2023-10,1466934
RCT-02-0021,INV-02-0021,2023-10,1466934
RCT-02-0022,INV-02-0022,2023-10,1466934
RCT-02-0023,INV-02-0023,2023-10,1466934
RCT-02-0024,INV-02-0024,2023-10,1466934
RCT-02-0025,INV-02-0025,2023-10,1466934
RCT-02-0026,INV-02-0026,2023-10,1466934
RCT-02-0027,INV-02-0027,2023-10,1466934
RCT-02-0028,INV-02-0028,2023-10,1466934
RCT-02-0029,INV-02-0029,2023-10,1466934
RCT-02-0030,INV-02-0030,2023-10,1466934
RCT-02-0031,INV-02-0031,2023-10,1466934
RCT-02-0032,INV-02-0032,2023-10,1466934
RCT-02-0033,INV-02-0033,2023-10,1466934
RCT-02-0034,INV-02-0034,2023-10,1466934
RCT-02-0035,INV-02-0035,2023-10,1466934
