period,customer_id,gpu_cents,power_cents,support_cents,retry_cents,total_cents
2023-09,CUS-0076,606011,86573,129859,43288,865731
2023-09,CUS-0077,606011,86573,129859,43288,865731
2023-09,CUS-0078,606011,86573,129859,43288,865731
2023-09,CUS-0079,606011,86573,129859,43288,865731
2023-09,CUS-0080,606011,86573,129859,43288,865731
2023-09,CUS-0081,606011,86573,129859,43288,865731
2023-09,CUS-0082,606011,86573,129859,43288,865731
2023-09,CUS-0083,606011,86573,129859,43288,865731
2023-09,CUS-0084,606011,86573,129859,43288,865731
2023-09,CUS-0085,606011,86573,129859,43288,865731
2023-09,CUS-0086,606011,86573,129859,43288,865731
2023-09,CUS-0087,606011,86573,129859,43288,865731
2023-09,CUS-0088,606011,86573,129859,43288,865731
2023-09,CUS-0089,606011,86573,129859,43288,865731
2023-09,CUS-0090,606011,86573,129859,43288,865731
2023-09,CUS-0091,606011,86573,129859,43288,865731
2023-09,CUS-0092,606011,86573,129859,43288,865731
2023-09,CUS-0093,606011,86573,129859,43288,865731
2023-09,CUS-0094,606011,86573,129859,43288,865731
2023-09,CUS-0095,606011,86573,129859,43288,865731
2023-09,CUS-0096,606011,86573,129859,43288,865731
2023-09,CUS-0097,606011,86573,129859,43288,865731
2023-09,CUS-0098,606011,86573,129859,43288,865731
2023-09,CUS-0099,606011,86573,129859,43288,865731
2023-09,CUS-0100,606011,86573,129859,43288,865731
2023-09,CUS-0101,606011,86573,129859,43288,865731
2023-09,CUS-0102,606011,86573,129859,43288,865731
2023-09,CUS-0103,606011,86573,129859,43288,865731
2023-09,CUS-0104,606011,86573,129859,43288,865731
2023-09,CUS-0105,606011,86573,129859,43288,865731
2023-09,CUS-0106,606011,86573,129859,43288,865731
2023-09,CUS-0107,606011,86573,129859,43288,865731
2023-09,CUS-0108,606011,86573,129859,43288,865731
2023-09,CUS-0109,606011,86573,129859,43288,865731
2023-09,CUS-0110,606011,86573,129859,43288,865731
2023-09,CUS-0111,606011,86573,129859,43288,865731
2023-09,CUS-0112,606011,86573,129859,43288,865731
2023-09,CUS-0113,606011,86573,129859,43288,865731
2023-09,CUS-0114,606011,86573,129859,43288,865731
2023-09,CUS-0115,606011,86573,129859,43288,865731
2023-09,CUS-0116,606011,86573,129859,43288,865731
2023-09,CUS-0117,606011,86573,129859,43288,865731
2023-09,CUS-0118,606011,86573,129859,43288,865731
2023-09,CUS-0119,606011,86573,129859,43288,865731
2023-09,CUS-0120,606011,86573,129859,43288,865731
2023-09,CUS-0121,606011,86573,129859,43288,865731
2023-09,CUS-0122,606011,86573,129859,43288,865731
2023-09,CUS-0123,606011,86573,129859,43288,865731
2023-09,CUS-0124,606011,86573,129859,43288,865731
2023-09,CUS-0125,606011,86573,129859,43288,865731
2023-09,CUS-0126,606011,86573,129859,43288,865731
2023-09,CUS-0127,606011,86573,129859,43288,865731
2023-09,CUS-0128,606011,86573,129859,43288,865731
2023-09,CUS-0129,606011,86573,129859,43288,865731
2023-09,CUS-0130,606011,86573,129859,43288,865731
2023-09,CUS-0131,606011,86573,129859,43288,865731
2023-09,CUS-0132,606011,86573,129859,43288,865731
2023-09,CUS-0133,606011,86573,129859,43288,865731
2023-09,CUS-0134,606011,86573,129859,43288,865731
2023-09,CUS-0135,606011,86573,129859,43288,865731
2023-09,CUS-0136,606011,86573,129859,43288,865731
2023-09,CUS-0137,606011,86573,129859,43288,865731
2023-09,CUS-0138,606011,86573,129859,43288,865731
2023-09,CUS-0139,606011,86573,129859,43288,865731
2023-09,CUS-0140,606011,86573,129859,43288,865731
2023-09,CUS-0141,606011,86573,129859,43288,865731
2023-09,CUS-0142,606011,86573,129859,43288,865731
2023-09,CUS-0143,606011,86573,129859,43288,865731
2023-09,CUS-0144,606011,86573,129859,43288,865731
2023-09,CUS-0145,606011,86573,129859,43288,865731
2023-09,CUS-0146,606011,86573,129859,43288,865731
2023-09,CUS-0147,606011,86573,129859,43288,865731
2023-09,CUS-0148,606011,86573,129859,43288,865731
2023-09,CUS-0149,606011,86573,129859,43288,865731
2023-09,CUS-0150,606011,86573,129859,43288,865731
2023-09,CUS-0151,606011,86573,129859,43288,865731
2023-09,CUS-0152,606011,86573,129859,43288,865731
2023-09,CUS-0153,606011,86573,129859,43288,865731
2023-09,CUS-0154,606011,86573,129859,43288,865731
2023-09,CUS-0155,606011,86573,129859,43288,865731
2023-09,CUS-0156,606011,86573,129859,43288,865731
2023-09,CUS-0157,606011,86573,129859,43288,865731
2023-09,CUS-0158,606011,86573,129859,43288,865731
2023-09,CUS-0159,606011,86573,129859,43288,865731
2023-09,CUS-0160,606011,86573,129859,43288,865731
2023-09,CUS-0161,606011,86573,129859,43288,865731
2023-09,CUS-0162,606011,86573,129859,43288,865731
2023-09,CUS-0163,606011,86573,129859,43288,865731
2023-09,CUS-0164,606011,86573,129859,43288,865731
2023-09,CUS-0165,606011,86573,129859,43288,865731
2023-09,CUS-0166,606011,86573,129859,43288,865731
2023-09,CUS-0167,606011,86573,129859,43288,865731
2023-09,CUS-0168,606011,86573,129859,43288,865731
2023-09,CUS-0169,606011,86573,129859,43288,865731
2023-09,CUS-0170,606011,86573,129859,43288,865731
2023-09,CUS-0171,606011,86573,129859,43288,865731
2023-09,CUS-0172,606011,86573,129859,43288,865731
2023-09,CUS-0173,606011,86573,129859,43288,865731
2023-09,CUS-0174,606011,86573,129859,43288,865731
2023-09,CUS-0175,606011,86573,129859,43288,865731
2023-09,CUS-0176,606011,86573,129859,43288,865731
2023-09,CUS-0177,606011,86573,129859,43288,865731
2023-09,CUS-0178,606011,86573,129859,43288,865731
2023-09,CUS-0179,606011,86573,129859,43288,865731
2023-09,CUS-0180,606011,86573,129859,43288,865731
2023-09,CUS-0181,606011,86573,129859,43288,865731
2023-09,CUS-0182,606011,86573,129859,43288,865731
2023-09,CUS-0183,606011,86573,129859,43288,865731
2023-09,CUS-0184,606011,86573,129859,43288,865731
2023-09,CUS-0185,606011,86573,129859,43288,865731
2023-09,CUS-0186,606011,86573,129859,43288,865731
2023-09,CUS-0187,606011,86573,129859,43288,865731
2023-09,CUS-0188,606011,86573,129859,43288,865731
2023-09,CUS-0189,606011,86573,129859,43288,865731
2023-09,CUS-0190,606011,86573,129859,43288,865731
2023-09,CUS-0191,606011,86573,129859,43288,865731
2023-09,CUS-0192,606011,86573,129859,43288,865731
2023-09,CUS-0193,606011,86573,129859,43288,865731
2023-09,CUS-0194,606011,86573,129859,43288,865731
2023-09,CUS-0195,606011,86573,129859,43288,865731
2023-09,CUS-0196,606011,86573,129859,43288,865731
2023-09,CUS-0197,606011,86573,129859,43288,865731
2023-09,CUS-0198,606011,86573,129859,43288,865731
2023-09,CUS-0199,606011,86573,129859,43288,865731
2023-09,CUS-0200,606011,86573,129859,43288,865731
2023-09,CUS-0201,606011,86573,129859,43288,865731
2023-09,CUS-0202,606011,86573,129859,43288,865731
2023-09,CUS-0203,606011,86573,129859,43288,865731
2023-09,CUS-0204,606011,86573,129859,43288,865731
2023-09,CUS-0205,606011,86573,129859,43288,865731
2023-09,CUS-0206,606011,86573,129859,43288,865731
2023-09,CUS-0207,606011,86573,129859,43288,865731
2023-09,CUS-0208,606011,86573,129859,43288,865731
2023-09,CUS-0209,606011,86573,129859,43288,865731
2023-09,CUS-0210,606011,86573,129859,43288,865731
2023-09,CUS-0211,606011,86573,129859,43288,865731
2023-09,CUS-0212,606011,86573,129859,43288,865731
2023-09,CUS-0213,606011,86573,129859,43288,865731
2023-09,CUS-0214,606011,86573,129859,43288,865731
2023-09,CUS-0215,606011,86573,129859,43288,865731
2023-09,CUS-0216,606011,86573,129859,43288,865731
2023-09,CUS-0217,606011,86573,129859,43288,865731
2023-09,CUS-0218,606011,86573,129859,43288,865731
2023-09,CUS-0219,606011,86573,129859,43288,865731
2023-09,CUS-0220,606011,86573,129859,43288,865731
2023-09,CUS-0221,606011,86573,129859,43288,865731
2023-09,CUS-0222,606011,86573,129859,43288,865731
2023-09,CUS-0223,606011,86573,129859,43288,865731
2023-09,CUS-0224,606011,86573,129859,43288,865731
2023-09,CUS-0225,606011,86573,129859,43288,865731
2023-09,CUS-0226,606011,86573,129859,43288,865731
2023-09,CUS-0227,606011,86573,129859,43288,865731
2023-09,CUS-0228,606011,86573,129859,43288,865731
2023-09,CUS-0229,606011,86573,129859,43288,865731
2023-09,CUS-0230,606011,86573,129859,43288,865731
2023-09,CUS-0231,606011,86573,129859,43288,865731
2023-09,CUS-0232,606011,86573,129859,43288,865731
2023-09,CUS-0233,606011,86573,129859,43288,865731
2023-09,CUS-0234,606011,86573,129859,43288,865731
2023-09,CUS-0235,606011,86573,129859,43288,865731
2023-09,CUS-0236,606011,86573,129859,43288,865731
2023-09,CUS-0237,606011,86573,129859,43288,865731
2023-09,CUS-0238,606011,86573,129859,43288,865731
2023-09,CUS-0239,606011,86573,129859,43288,865731
2023-09,CUS-0240,606011,86573,129859,43288,865731
2023-09,CUS-0241,606011,86573,129859,43288,865731
2023-09,CUS-0242,606011,86573,129859,43288,865731
2023-09,CUS-0243,606011,86573,129859,43288,865731
2023-09,CUS-0244,606011,86573,129859,43288,865731
2023-09,CUS-0245,606011,86573,129859,43288,865731
2023-09,CUS-0246,606011,86573,129859,43288,865731
2023-09,CUS-0247,606011,86573,129859,43288,865731
2023-09,CUS-0248,606011,86573,129859,43288,865731
2023-09,CUS-0249,606011,86573,129859,43288,865731
2023-09,CUS-0250,606011,86573,129859,43288,865731
2023-09,CUS-0251,606011,86573,129859,43288,865731
2023-09,CUS-0252,606011,86573,129859,43288,865731
2023-09,CUS-0253,606011,86573,129859,43288,865731
2023-09,CUS-0254,606011,86573,129859,43288,865731
2023-09,CUS-0255,606011,86573,129859,43288,865731
2023-09,CUS-0256,606011,86573,129859,43288,865731
2023-09,CUS-0257,606011,86573,129859,43288,865731
2023-09,CUS-0258,606011,86573,129859,43288,865731
2023-09,CUS-0259,606011,86573,129859,43288,865731
2023-09,CUS-0260,606011,86573,129859,43288,865731
2023-09,CUS-0261,606011,86573,129859,43288,865731
2023-09,CUS-0262,606011,86573,129859,43288,865731
2023-09,CUS-0263,606011,86573,129859,43288,865731
2023-09,CUS-0264,606011,86573,129859,43288,865731
2023-09,CUS-0265,606011,86573,129859,43288,865731
2023-09,CUS-0266,606011,86573,129859,43288,865731
2023-09,CUS-0267,606011,86573,129859,43288,865731
2023-09,CUS-0268,606011,86573,129859,43288,865731
2023-09,CUS-0269,606011,86573,129859,43288,865731
2023-09,CUS-0270,606011,86573,129859,43288,865731
2023-09,CUS-0271,606011,86573,129859,43288,865731
2023-09,CUS-0272,606011,86573,129859,43288,865731
2023-09,CUS-0273,606011,86573,129859,43288,865731
2023-09,CUS-0274,606011,86573,129859,43288,865731
2023-09,CUS-0275,606011,86573,129859,43288,865731
2023-09,CUS-0276,606011,86573,129859,43288,865731
2023-09,CUS-0277,606011,86573,129859,43288,865731
2023-09,CUS-0278,606011,86573,129859,43288,865731
2023-09,CUS-0279,606011,86573,129859,43288,865731
2023-09,CUS-0280,606011,86573,129859,43288,865731
2023-09,CUS-0281,606011,86573,129859,43288,865731
2023-09,CUS-0282,606011,86573,129859,43288,865731
2023-09,CUS-0283,606011,86573,129859,43288,865731
2023-09,CUS-0284,606011,86573,129859,43288,865731
2023-09,CUS-0285,606011,86573,129859,43288,865731
2023-09,CUS-0286,606011,86573,129859,43288,865731
2023-09,CUS-0287,606011,86573,129859,43288,865731
2023-09,CUS-0288,606011,86573,129859,43288,865731
2023-09,CUS-0289,606011,86573,129859,43288,865731
2023-09,CUS-0290,606011,86573,129859,43288,865731
2023-09,CUS-0291,606011,86573,129859,43288,865731
2023-09,CUS-0292,606011,86573,129859,43288,865731
2023-09,CUS-0293,606011,86573,129859,43288,865731
2023-09,CUS-0294,606011,86573,129859,43288,865731
2023-09,CUS-0295,606011,86573,129859,43288,865731
2023-09,CUS-0296,606011,86573,129859,43288,865731
2023-09,CUS-0297,606011,86573,129859,43288,865731
2023-09,CUS-0298,606011,86573,129859,43288,865731
2023-09,CUS-0299,606011,86573,129859,43288,865731
2023-09,CUS-0300,606011,86573,129859,43288,865731
2023-09,CUS-0301,606011,86573,129859,43288,865731
2023-09,CUS-0302,606011,86573,129859,43288,865731
2023-09,CUS-0303,606011,86573,129859,43288,865731
2023-09,CUS-0304,606011,86573,129859,43288,865731
2023-09,CUS-0305,606011,86573,129859,43288,865731
2023-09,CUS-0306,606011,86573,129859,43288,865731
2023-09,CUS-0307,606011,86573,129859,43288,865731
2023-09,CUS-0308,606011,86573,129859,43288,865731
2023-09,CUS-0309,606011,86573,129859,43288,865731
2023-09,CUS-0310,606011,86573,129859,43288,865731
2023-09,CUS-0311,606011,86573,129859,43288,865731
2023-09,CUS-0312,606011,86573,129859,43288,865731
2023-09,CUS-0313,606011,86573,129859,43288,865731
2023-09,CUS-0314,606011,86573,129859,43288,865731
2023-09,CUS-0315,606011,86573,129859,43288,865731
2023-09,CUS-0316,606011,86573,129859,43288,865731
2023-09,CUS-0317,606011,86573,129859,43288,865731
2023-09,CUS-0318,606011,86573,129859,43288,865731
2023-09,CUS-0319,606011,86573,129859,43288,865731
2023-09,CUS-0320,606011,86573,129859,43288,865731
2023-09,CUS-0321,606011,86573,129859,43288,865731
2023-09,CUS-0322,606011,86573,129859,43288,865731
2023-09,CUS-0323,606011,86573,129859,43288,865731
2023-09,CUS-0324,606011,86573,129859,43288,865731
2023-09,CUS-0325,606011,86573,129859,43288,865731
2023-09,CUS-0326,606011,86573,129859,43288,865731
2023-09,CUS-0327,606011,86573,129859,43288,865731
2023-09,CUS-0328,606011,86573,129859,43288,865731
2023-09,CUS-0329,606011,86573,129859,43288,865731
2023-09,CUS-0330,606011,86573,129859,43288,865731
2023-09,CUS-0331,606011,86573,129859,43288,865731
2023-09,CUS-0332,606011,86573,129859,43288,865731
2023-09,CUS-0333,606011,86573,129859,43288,865731
2023-09,CUS-0334,606011,86573,129859,43288,865731
2023-09,CUS-0335,606011,86573,129859,43288,865731
2023-09,CUS-0336,606011,86573,129859,43288,865731
2023-09,CUS-0337,606011,86573,129859,43288,865731
2023-09,CUS-0338,606011,86573,129859,43288,865731
2023-09,CUS-0339,606011,86573,129859,43288,865731
2023-09,CUS-0340,606011,86573,129859,43288,865731
2023-09,CUS-0341,606011,86573,129859,43288,865731
2023-09,CUS-0342,606011,86573,129859,43288,865731
2023-09,CUS-0343,606011,86573,129859,43288,865731
2023-09,CUS-0344,606011,86573,129859,43288,865731
2023-09,CUS-0345,606011,86573,129859,43288,865731
2023-09,CUS-0346,606011,86573,129859,43288,865731
2023-09,CUS-0347,606011,86573,129859,43288,865731
2023-09,CUS-0348,606011,86573,129859,43288,865731
2023-09,CUS-0349,606011,86573,129859,43288,865731
2023-09,CUS-0350,606011,86573,129859,43288,865731
2023-09,CUS-0351,606011,86573,129859,43288,865731
2023-09,CUS-0352,606011,86573,129859,43288,865731
2023-09,CUS-0353,606011,86573,129859,43288,865731
2023-09,CUS-0354,606011,86573,129859,43288,865731
2023-09,CUS-0355,606011,86573,129859,43288,865731
2023-09,CUS-0356,606011,86573,129859,43288,865731
2023-09,CUS-0357,606011,86573,129859,43288,865731
2023-09,CUS-0358,606011,86573,129859,43288,865731
2023-09,CUS-0359,606011,86573,129859,43288,865731
2023-09,CUS-0360,606011,86573,129859,43288,865731
2023-09,CUS-0361,606011,86573,129859,43288,865731
2023-09,CUS-0362,606011,86573,129859,43288,865731
2023-09,CUS-0363,606011,86573,129859,43288,865731
2023-09,CUS-0364,606011,86573,129859,43288,865731
2023-09,CUS-0365,606011,86573,129859,43288,865731
2023-09,CUS-0366,606011,86573,129859,43288,865731
2023-09,CUS-0367,606011,86573,129859,43288,865731
2023-09,CUS-0368,606011,86573,129859,43288,865731
2023-09,CUS-0369,606011,86573,129859,43288,865731
2023-09,CUS-0370,606011,86573,129859,43288,865731
2023-09,CUS-0371,606011,86573,129859,43288,865731
2023-09,CUS-0372,606011,86573,129859,43288,865731
2023-09,CUS-0373,606011,86573,129859,43288,865731
2023-09,CUS-0374,606011,86573,129859,43288,865731
2023-09,CUS-0375,606011,86573,129859,43288,865731
2023-09,CUS-0376,606011,86573,129859,43288,865731
2023-09,CUS-0377,606011,86573,129859,43288,865731
2023-09,CUS-0378,606011,86573,129859,43288,865731
2023-09,CUS-0379,606011,86573,129859,43288,865731
2023-09,CUS-0380,606011,86573,129859,43288,865731
2023-09,CUS-0381,606011,86573,129859,43288,865731
2023-09,CUS-0382,606011,86573,129859,43288,865731
2023-09,CUS-0383,606011,86573,129859,43288,865731
2023-09,CUS-0384,606011,86573,129859,43288,865731
2023-09,CUS-0385,606011,86573,129859,43288,865731
2023-09,CUS-0386,606011,86573,129859,43288,865731
2023-09,CUS-0387,606011,86573,129859,43288,865731
2023-09,CUS-0388,606011,86573,129859,43288,865731
2023-09,CUS-0389,606011,86573,129859,43288,865731
2023-09,CUS-0390,606011,86573,129859,43288,865731
2023-09,CUS-0391,606011,86573,129859,43288,865731
2023-09,CUS-0392,606011,86573,129859,43288,865731
2023-09,CUS-0393,606011,86573,129859,43288,865731
2023-09,CUS-0394,606011,86573,129859,43288,865731
2023-09,CUS-0395,606011,86573,129859,43288,865731
2023-09,CUS-0396,606011,86573,129859,43288,865731
2023-09,CUS-0397,606011,86573,129859,43288,865731
2023-09,CUS-0398,606011,86573,129859,43288,865731
2023-09,CUS-0399,606011,86573,129859,43288,865731
2023-09,CUS-0400,606011,86573,129859,43288,865731
2023-09,CUS-0401,606011,86573,129859,43288,865731
2023-09,CUS-0402,606011,86573,129859,43288,865731
2023-09,CUS-0403,606011,86573,129859,43288,865731
2023-09,CUS-0404,606011,86573,129859,43288,865731
2023-09,CUS-0405,606011,86573,129859,43288,865731
2023-09,CUS-0406,606011,86573,129859,43288,865731
2023-09,CUS-0407,606011,86573,129859,43288,865731
2023-09,CUS-0408,606011,86573,129859,43288,865731
2023-09,CUS-0409,606011,86573,129859,43288,865731
2023-09,CUS-0410,606011,86573,129859,43288,865731
2023-09,CUS-0411,606011,86573,129859,43288,865731
2023-09,CUS-0412,606011,86573,129859,43288,865731
2023-09,CUS-0413,606011,86573,129859,43288,865731
2023-09,CUS-0414,606011,86573,129859,43288,865731
2023-09,CUS-0415,606011,86573,129859,43288,865731
2023-09,CUS-0416,606011,86573,129859,43288,865731
2023-09,CUS-0417,606011,86573,129859,43288,865731
2023-09,CUS-0418,606011,86573,129859,43288,865731
2023-09,CUS-0419,606011,86573,129859,43288,865731
2023-09,CUS-0420,606011,86573,129859,43288,865731
2023-09,CUS-0421,606011,86573,129859,43288,865731
2023-09,CUS-0422,606011,86573,129859,43288,865731
2023-09,CUS-0423,606011,86573,129859,43288,865731
2023-09,CUS-0424,606011,86573,129859,43288,865731
2023-09,CUS-0425,606011,86573,129859,43288,865731
2023-09,CUS-0426,606011,86573,129859,43288,865731
2023-09,CUS-0427,606011,86573,129859,43288,865731
2023-09,CUS-0428,606011,86573,129859,43288,865731
2023-09,CUS-0429,606011,86573,129859,43288,865731
2023-09,CUS-0430,606011,86573,129859,43288,865731
2023-09,CUS-0431,606011,86573,129859,43288,865731
2023-09,CUS-0432,606011,86573,129859,43288,865731
2023-09,CUS-0433,606011,86573,129859,43288,865731
2023-09,CUS-0434,606011,86573,129859,43288,865731
2023-09,CUS-0435,606011,86573,129859,43288,865731
2023-09,CUS-0436,606011,86573,129859,43288,865731
2023-09,CUS-0437,606011,86573,129859,43288,865731
2023-09,CUS-0438,606011,86573,129859,43288,865731
2023-09,CUS-0439,606011,86573,129859,43288,865731
2023-09,CUS-0440,606011,86573,129859,43288,865731
2023-09,CUS-0441,606011,86573,129859,43288,865731
2023-09,CUS-0442,606011,86573,129859,43288,865731
2023-09,CUS-0443,606011,86573,129859,43288,865731
2023-09,CUS-0444,606011,86573,129859,43288,865731
2023-09,CUS-0445,606011,86573,129859,43288,865731
2023-09,CUS-0446,606011,86573,129859,43288,865731
2023-09,CUS-0447,606011,86573,129859,43288,865731
2023-09,CUS-0448,606011,86573,129859,43288,865731
2023-09,CUS-0449,606011,86573,129859,43288,865731
2023-09,CUS-0450,606011,86573,129859,43288,865731
2023-09,CUS-0451,606011,86573,129859,43288,865731
2023-09,CUS-0452,606011,86573,129859,43288,865731
2023-09,CUS-0453,606011,86573,129859,43288,865731
2023-09,CUS-0454,606011,86573,129859,43288,865731
2023-09,CUS-0455,606011,86573,129859,43288,865731
2023-09,CUS-0456,606011,86573,129859,43288,865731
2023-09,CUS-0457,606011,86573,129859,43288,865731
2023-09,CUS-0458,606011,86573,129859,43288,865731
2023-09,CUS-0459,606011,86573,129859,43288,865731
2023-09,CUS-0460,606011,86573,129859,43288,865731
2023-09,CUS-0461,606011,86573,129859,43288,865731
2023-09,CUS-0462,606011,86573,129859,43288,865731
2023-09,CUS-0463,606011,86573,129859,43288,865731
2023-09,CUS-0464,606011,86573,129859,43288,865731
2023-09,CUS-0465,606011,86573,129859,43288,865731
2023-09,CUS-0466,606011,86573,129859,43288,865731
2023-09,CUS-0467,606011,86573,129859,43288,865731
2023-09,CUS-0468,606011,86573,129859,43288,865731
2023-09,CUS-0469,606011,86573,129859,43288,865731
2023-09,CUS-0470,606011,86573,129859,43288,865731
2023-09,CUS-0471,606011,86573,129859,43288,865731
2023-09,CUS-0472,606011,86573,129859,43288,865731
2023-09,CUS-0473,606011,86573,129859,43288,865731
2023-09,CUS-0474,606011,86573,129859,43288,865731
2023-09,CUS-0475,606011,86573,129859,43288,865731
2023-09,CUS-0476,606011,86573,129859,43288,865731
2023-09,CUS-0477,606011,86573,129859,43288,865731
2023-09,CUS-0478,606011,86573,129859,43288,865731
2023-09,CUS-0479,606011,86573,129859,43288,865731
2023-09,CUS-0480,606011,86573,129859,43288,865731
2023-09,CUS-0481,606011,86573,129859,43288,865731
2023-09,CUS-0482,606011,86573,129859,43288,865731
2023-09,CUS-0483,606011,86573,129859,43288,865731
2023-09,CUS-0484,606011,86573,129859,43288,865731
2023-09,CUS-0485,606011,86573,129859,43288,865731
2023-09,CUS-0486,606011,86573,129859,43288,865731
2023-09,CUS-0487,606011,86573,129859,43288,865731
2023-09,CUS-0488,606011,86573,129859,43288,865731
2023-09,CUS-0489,606011,86573,129859,43288,865731
2023-09,CUS-0490,606011,86573,129859,43288,865731
2023-09,CUS-0491,606011,86573,129859,43288,865731
2023-09,CUS-0492,606011,86573,129859,43288,865731
2023-09,CUS-0493,606011,86573,129859,43288,865731
2023-09,CUS-0494,606011,86573,129859,43288,865731
2023-09,CUS-0495,606011,86573,129859,43288,865731
2023-09,CUS-0496,606011,86573,129859,43288,865731
2023-09,CUS-0497,606011,86573,129859,43288,865731
2023-09,CUS-0498,606011,86573,129859,43288,865731
2023-09,CUS-0499,606011,86573,129859,43288,865731
2023-09,CUS-0500,606011,86573,129859,43288,865731
2023-10,CUS-0001,140910000,20130000,30195000,10065000,201300000
2023-10,CUS-0002,616112,88016,132024,44008,880160
2023-10,CUS-0003,616112,88016,132024,44008,880160
2023-10,CUS-0004,616112,88016,132024,44008,880160
2023-10,CUS-0005,616112,88016,132024,44008,880160
2023-10,CUS-0006,616112,88016,132024,44008,880160
2023-10,CUS-0007,616112,88016,132024,44008,880160
2023-10,CUS-0008,616112,88016,132024,44008,880160
2023-10,CUS-0009,616112,88016,132024,44008,880160
2023-10,CUS-0010,616112,88016,132024,44008,880160
2023-10,CUS-0011,616112,88016,132024,44008,880160
2023-10,CUS-0012,616112,88016,132024,44008,880160
2023-10,CUS-0013,616112,88016,132024,44008,880160
2023-10,CUS-0014,616112,88016,132024,44008,880160
2023-10,CUS-0015,616112,88016,132024,44008,880160
