journal_id,period,reference,account,signed_cents
JRN-000113,2023-09,INV-01-0038,cash,1442886
JRN-000113,2023-09,INV-01-0038,ar,-1442886
JRN-000114,2023-09,COST-INV-01-0038,cogs,865731
JRN-000114,2023-09,COST-INV-01-0038,cash,-865731
JRN-000115,2023-09,INV-01-0039,ar,1442886
JRN-000115,2023-09,INV-01-0039,revenue,-1442886
JRN-000116,2023-09,INV-01-0039,cash,1442886
JRN-000116,2023-09,INV-01-0039,ar,-1442886
JRN-000117,2023-09,COST-INV-01-0039,cogs,865731
JRN-000117,2023-09,COST-INV-01-0039,cash,-865731
JRN-000118,2023-09,INV-01-0040,ar,1442886
JRN-000118,2023-09,INV-01-0040,revenue,-1442886
JRN-000119,2023-09,INV-01-0040,cash,1442886
JRN-000119,2023-09,INV-01-0040,ar,-1442886
JRN-000120,2023-09,COST-INV-01-0040,cogs,865731
JRN-000120,2023-09,COST-INV-01-0040,cash,-865731
JRN-000121,2023-09,INV-01-0041,ar,1442886
JRN-000121,2023-09,INV-01-0041,revenue,-1442886
JRN-000122,2023-09,INV-01-0041,cash,1442886
JRN-000122,2023-09,INV-01-0041,ar,-1442886
JRN-000123,2023-09,COST-INV-01-0041,cogs,865731
JRN-000123,2023-09,COST-INV-01-0041,cash,-865731
JRN-000124,2023-09,INV-01-0042,ar,1442886
JRN-000124,2023-09,INV-01-0042,revenue,-1442886
JRN-000125,2023-09,INV-01-0042,cash,1442886
JRN-000125,2023-09,INV-01-0042,ar,-1442886
JRN-000126,2023-09,COST-INV-01-0042,cogs,865731
JRN-000126,2023-09,COST-INV-01-0042,cash,-865731
JRN-000127,2023-09,INV-01-0043,ar,1442886
JRN-000127,2023-09,INV-01-0043,revenue,-1442886
JRN-000128,2023-09,INV-01-0043,cash,1442886
JRN-000128,2023-09,INV-01-0043,ar,-1442886
JRN-000129,2023-09,COST-INV-01-0043,cogs,865731
JRN-000129,2023-09,COST-INV-01-0043,cash,-865731
JRN-000130,2023-09,INV-01-0044,ar,1442886
JRN-000130,2023-09,INV-01-0044,revenue,-1442886
JRN-000131,2023-09,INV-01-0044,cash,1442886
JRN-000131,2023-09,INV-01-0044,ar,-1442886
JRN-000132,2023-09,COST-INV-01-0044,cogs,865731
JRN-000132,2023-09,COST-INV-01-0044,cash,-865731
JRN-000133,2023-09,INV-01-0045,ar,1442886
JRN-000133,2023-09,INV-01-0045,revenue,-1442886
JRN-000134,2023-09,INV-01-0045,cash,1442886
JRN-000134,2023-09,INV-01-0045,ar,-1442886
JRN-000135,2023-09,COST-INV-01-0045,cogs,865731
JRN-000135,2023-09,COST-INV-01-0045,cash,-865731
JRN-000136,2023-09,INV-01-0046,ar,1442886
JRN-000136,2023-09,INV-01-0046,revenue,-1442886
JRN-000137,2023-09,INV-01-0046,cash,1442886
JRN-000137,2023-09,INV-01-0046,ar,-1442886
JRN-000138,2023-09,COST-INV-01-0046,cogs,865731
JRN-000138,2023-09,COST-INV-01-0046,cash,-865731
JRN-000139,2023-09,INV-01-0047,ar,1442886
JRN-000139,2023-09,INV-01-0047,revenue,-1442886
JRN-000140,2023-09,INV-01-0047,cash,1442886
JRN-000140,2023-09,INV-01-0047,ar,-1442886
JRN-000141,2023-09,COST-INV-01-0047,cogs,865731
JRN-000141,2023-09,COST-INV-01-0047,cash,-865731
JRN-000142,2023-09,INV-01-0048,ar,1442886
JRN-000142,2023-09,INV-01-0048,revenue,-1442886
JRN-000143,2023-09,INV-01-0048,cash,1442886
JRN-000143,2023-09,INV-01-0048,ar,-1442886
JRN-000144,2023-09,COST-INV-01-0048,cogs,865731
JRN-000144,2023-09,COST-INV-01-0048,cash,-865731
JRN-000145,2023-09,INV-01-0049,ar,1442886
JRN-000145,2023-09,INV-01-0049,revenue,-1442886
JRN-000146,2023-09,INV-01-0049,cash,1442886
JRN-000146,2023-09,INV-01-0049,ar,-1442886
JRN-000147,2023-09,COST-INV-01-0049,cogs,865731
JRN-000147,2023-09,COST-INV-01-0049,cash,-865731
JRN-000148,2023-09,INV-01-0050,ar,1442886
JRN-000148,2023-09,INV-01-0050,revenue,-1442886
JRN-000149,2023-09,INV-01-0050,cash,1442886
JRN-000149,2023-09,INV-01-0050,ar,-1442886
JRN-000150,2023-09,COST-INV-01-0050,cogs,865731
JRN-000150,2023-09,COST-INV-01-0050,cash,-865731
JRN-000151,2023-09,INV-01-0051,ar,1442886
JRN-000151,2023-09,INV-01-0051,revenue,-1442886
JRN-000152,2023-09,INV-01-0051,cash,1442886
JRN-000152,2023-09,INV-01-0051,ar,-1442886
JRN-000153,2023-09,COST-INV-01-0051,cogs,865731
JRN-000153,2023-09,COST-INV-01-0051,cash,-865731
JRN-000154,2023-09,INV-01-0052,ar,1442886
JRN-000154,2023-09,INV-01-0052,revenue,-1442886
JRN-000155,2023-09,INV-01-0052,cash,1442886
JRN-000155,2023-09,INV-01-0052,ar,-1442886
JRN-000156,2023-09,COST-INV-01-0052,cogs,865731
JRN-000156,2023-09,COST-INV-01-0052,cash,-865731
JRN-000157,2023-09,INV-01-0053,ar,1442886
JRN-000157,2023-09,INV-01-0053,revenue,-1442886
JRN-000158,2023-09,INV-01-0053,cash,1442886
JRN-000158,2023-09,INV-01-0053,ar,-1442886
JRN-000159,2023-09,COST-INV-01-0053,cogs,865731
JRN-000159,2023-09,COST-INV-01-0053,cash,-865731
JRN-000160,2023-09,INV-01-0054,ar,1442886
JRN-000160,2023-09,INV-01-0054,revenue,-1442886
JRN-000161,2023-09,INV-01-0054,cash,1442886
JRN-000161,2023-09,INV-01-0054,ar,-1442886
JRN-000162,2023-09,COST-INV-01-0054,cogs,865731
JRN-000162,2023-09,COST-INV-01-0054,cash,-865731
JRN-000163,2023-09,INV-01-0055,ar,1442886
JRN-000163,2023-09,INV-01-0055,revenue,-1442886
JRN-000164,2023-09,INV-01-0055,cash,1442886
JRN-000164,2023-09,INV-01-0055,ar,-1442886
JRN-000165,2023-09,COST-INV-01-0055,cogs,865731
JRN-000165,2023-09,COST-INV-01-0055,cash,-865731
JRN-000166,2023-09,INV-01-0056,ar,1442886
JRN-000166,2023-09,INV-01-0056,revenue,-1442886
JRN-000167,2023-09,INV-01-0056,cash,1442886
JRN-000167,2023-09,INV-01-0056,ar,-1442886
JRN-000168,2023-09,COST-INV-01-0056,cogs,865731
JRN-000168,2023-09,COST-INV-01-0056,cash,-865731
JRN-000169,2023-09,INV-01-0057,ar,1442886
JRN-000169,2023-09,INV-01-0057,revenue,-1442886
JRN-000170,2023-09,INV-01-0057,cash,1442886
JRN-000170,2023-09,INV-01-0057,ar,-1442886
JRN-000171,2023-09,COST-INV-01-0057,cogs,865731
JRN-000171,2023-09,COST-INV-01-0057,cash,-865731
JRN-000172,2023-09,INV-01-0058,ar,1442886
JRN-000172,2023-09,INV-01-0058,revenue,-1442886
JRN-000173,2023-09,INV-01-0058,cash,1442886
JRN-000173,2023-09,INV-01-0058,ar,-1442886
JRN-000174,2023-09,COST-INV-01-0058,cogs,865731
JRN-000174,2023-09,COST-INV-01-0058,cash,-865731
JRN-000175,2023-09,INV-01-0059,ar,1442886
JRN-000175,2023-09,INV-01-0059,revenue,-1442886
JRN-000176,2023-09,INV-01-0059,cash,1442886
JRN-000176,2023-09,INV-01-0059,ar,-1442886
JRN-000177,2023-09,COST-INV-01-0059,cogs,865731
JRN-000177,2023-09,COST-INV-01-0059,cash,-865731
JRN-000178,2023-09,INV-01-0060,ar,1442886
JRN-000178,2023-09,INV-01-0060,revenue,-1442886
JRN-000179,2023-09,INV-01-0060,cash,1442886
JRN-000179,2023-09,INV-01-0060,ar,-1442886
JRN-000180,2023-09,COST-INV-01-0060,cogs,865731
JRN-000180,2023-09,COST-INV-01-0060,cash,-865731
JRN-000181,2023-09,INV-01-0061,ar,1442886
JRN-000181,2023-09,INV-01-0061,revenue,-1442886
JRN-000182,2023-09,INV-01-0061,cash,1442886
JRN-000182,2023-09,INV-01-0061,ar,-1442886
JRN-000183,2023-09,COST-INV-01-0061,cogs,865731
JRN-000183,2023-09,COST-INV-01-0061,cash,-865731
JRN-000184,2023-09,INV-01-0062,ar,1442886
JRN-000184,2023-09,INV-01-0062,revenue,-1442886
JRN-000185,2023-09,INV-01-0062,cash,1442886
JRN-000185,2023-09,INV-01-0062,ar,-1442886
JRN-000186,2023-09,COST-INV-01-0062,cogs,865731
JRN-000186,2023-09,COST-INV-01-0062,cash,-865731
JRN-000187,2023-09,INV-01-0063,ar,1442886
JRN-000187,2023-09,INV-01-0063,revenue,-1442886
JRN-000188,2023-09,INV-01-0063,cash,1442886
JRN-000188,2023-09,INV-01-0063,ar,-1442886
JRN-000189,2023-09,COST-INV-01-0063,cogs,865731
JRN-000189,2023-09,COST-INV-01-0063,cash,-865731
JRN-000190,2023-09,INV-01-0064,ar,1442886
JRN-000190,2023-09,INV-01-0064,revenue,-1442886
JRN-000191,2023-09,INV-01-0064,cash,1442886
JRN-000191,2023-09,INV-01-0064,ar,-1442886
JRN-000192,2023-09,COST-INV-01-0064,cogs,865731
JRN-000192,2023-09,COST-INV-01-0064,cash,-865731
JRN-000193,2023-09,INV-01-0065,ar,1442886
JRN-000193,2023-09,INV-01-0065,revenue,-1442886
JRN-000194,2023-09,INV-01-0065,cash,1442886
JRN-000194,2023-09,INV-01-0065,ar,-1442886
JRN-000195,2023-09,COST-INV-01-0065,cogs,865731
JRN-000195,2023-09,COST-INV-01-0065,cash,-865731
JRN-000196,2023-09,INV-01-0066,ar,1442886
JRN-000196,2023-09,INV-01-0066,revenue,-1442886
JRN-000197,2023-09,INV-01-0066,cash,1442886
JRN-000197,2023-09,INV-01-0066,ar,-1442886
JRN-000198,2023-09,COST-INV-01-0066,cogs,865731
JRN-000198,2023-09,COST-INV-01-0066,cash,-865731
JRN-000199,2023-09,INV-01-0067,ar,1442886
JRN-000199,2023-09,INV-01-0067,revenue,-1442886
JRN-000200,2023-09,INV-01-0067,cash,1442886
JRN-000200,2023-09,INV-01-0067,ar,-1442886
JRN-000201,2023-09,COST-INV-01-0067,cogs,865731
JRN-000201,2023-09,COST-INV-01-0067,cash,-865731
JRN-000202,2023-09,INV-01-0068,ar,1442886
JRN-000202,2023-09,INV-01-0068,revenue,-1442886
JRN-000203,2023-09,INV-01-0068,cash,1442886
JRN-000203,2023-09,INV-01-0068,ar,-1442886
JRN-000204,2023-09,COST-INV-01-0068,cogs,865731
JRN-000204,2023-09,COST-INV-01-0068,cash,-865731
JRN-000205,2023-09,INV-01-0069,ar,1442886
JRN-000205,2023-09,INV-01-0069,revenue,-1442886
JRN-000206,2023-09,INV-01-0069,cash,1442886
JRN-000206,2023-09,INV-01-0069,ar,-1442886
JRN-000207,2023-09,COST-INV-01-0069,cogs,865731
JRN-000207,2023-09,COST-INV-01-0069,cash,-865731
JRN-000208,2023-09,INV-01-0070,ar,1442886
JRN-000208,2023-09,INV-01-0070,revenue,-1442886
JRN-000209,2023-09,INV-01-0070,cash,1442886
JRN-000209,2023-09,INV-01-0070,ar,-1442886
JRN-000210,2023-09,COST-INV-01-0070,cogs,865731
JRN-000210,2023-09,COST-INV-01-0070,cash,-865731
JRN-000211,2023-09,INV-01-0071,ar,1442886
JRN-000211,2023-09,INV-01-0071,revenue,-1442886
JRN-000212,2023-09,INV-01-0071,cash,1442886
JRN-000212,2023-09,INV-01-0071,ar,-1442886
JRN-000213,2023-09,COST-INV-01-0071,cogs,865731
JRN-000213,2023-09,COST-INV-01-0071,cash,-865731
JRN-000214,2023-09,INV-01-0072,ar,1442886
JRN-000214,2023-09,INV-01-0072,revenue,-1442886
JRN-000215,2023-09,INV-01-0072,cash,1442886
JRN-000215,2023-09,INV-01-0072,ar,-1442886
JRN-000216,2023-09,COST-INV-01-0072,cogs,865731
JRN-000216,2023-09,COST-INV-01-0072,cash,-865731
JRN-000217,2023-09,INV-01-0073,ar,1442886
JRN-000217,2023-09,INV-01-0073,revenue,-1442886
JRN-000218,2023-09,INV-01-0073,cash,1442886
JRN-000218,2023-09,INV-01-0073,ar,-1442886
JRN-000219,2023-09,COST-INV-01-0073,cogs,865731
JRN-000219,2023-09,COST-INV-01-0073,cash,-865731
JRN-000220,2023-09,INV-01-0074,ar,1442886
JRN-000220,2023-09,INV-01-0074,revenue,-1442886
JRN-000221,2023-09,INV-01-0074,cash,1442886
JRN-000221,2023-09,INV-01-0074,ar,-1442886
JRN-000222,2023-09,COST-INV-01-0074,cogs,865731
JRN-000222,2023-09,COST-INV-01-0074,cash,-865731
JRN-000223,2023-09,INV-01-0075,ar,1442886
JRN-000223,2023-09,INV-01-0075,revenue,-1442886
JRN-000224,2023-09,INV-01-0075,cash,1442886
JRN-000224,2023-09,INV-01-0075,ar,-1442886
JRN-000225,2023-09,COST-INV-01-0075,cogs,865731
JRN-000225,2023-09,COST-INV-01-0075,cash,-865731
JRN-000226,2023-09,INV-01-0076,ar,1442886
JRN-000226,2023-09,INV-01-0076,revenue,-1442886
JRN-000227,2023-09,INV-01-0076,cash,1442886
JRN-000227,2023-09,INV-01-0076,ar,-1442886
JRN-000228,2023-09,COST-INV-01-0076,cogs,865731
JRN-000228,2023-09,COST-INV-01-0076,cash,-865731
JRN-000229,2023-09,INV-01-0077,ar,1442886
JRN-000229,2023-09,INV-01-0077,revenue,-1442886
JRN-000230,2023-09,INV-01-0077,cash,1442886
JRN-000230,2023-09,INV-01-0077,ar,-1442886
JRN-000231,2023-09,COST-INV-01-0077,cogs,865731
JRN-000231,2023-09,COST-INV-01-0077,cash,-865731
JRN-000232,2023-09,INV-01-0078,ar,1442886
JRN-000232,2023-09,INV-01-0078,revenue,-1442886
JRN-000233,2023-09,INV-01-0078,cash,1442886
JRN-000233,2023-09,INV-01-0078,ar,-1442886
JRN-000234,2023-09,COST-INV-01-0078,cogs,865731
JRN-000234,2023-09,COST-INV-01-0078,cash,-865731
JRN-000235,2023-09,INV-01-0079,ar,1442886
JRN-000235,2023-09,INV-01-0079,revenue,-1442886
JRN-000236,2023-09,INV-01-0079,cash,1442886
JRN-000236,2023-09,INV-01-0079,ar,-1442886
JRN-000237,2023-09,COST-INV-01-0079,cogs,865731
JRN-000237,2023-09,COST-INV-01-0079,cash,-865731
JRN-000238,2023-09,INV-01-0080,ar,1442886
JRN-000238,2023-09,INV-01-0080,revenue,-1442886
JRN-000239,2023-09,INV-01-0080,cash,1442886
JRN-000239,2023-09,INV-01-0080,ar,-1442886
JRN-000240,2023-09,COST-INV-01-0080,cogs,865731
JRN-000240,2023-09,COST-INV-01-0080,cash,-865731
JRN-000241,2023-09,INV-01-0081,ar,1442886
JRN-000241,2023-09,INV-01-0081,revenue,-1442886
JRN-000242,2023-09,INV-01-0081,cash,1442886
JRN-000242,2023-09,INV-01-0081,ar,-1442886
JRN-000243,2023-09,COST-INV-01-0081,cogs,865731
JRN-000243,2023-09,COST-INV-01-0081,cash,-865731
JRN-000244,2023-09,INV-01-0082,ar,1442886
JRN-000244,2023-09,INV-01-0082,revenue,-1442886
JRN-000245,2023-09,INV-01-0082,cash,1442886
JRN-000245,2023-09,INV-01-0082,ar,-1442886
