employee_id,entity_id,role,monthly_salary_cents
EMP-0237,ENT-03,engineering,166667
EMP-0238,ENT-04,operations,166667
EMP-0239,ENT-05,commercial,166667
EMP-0240,ENT-06,support,166667
EMP-0241,ENT-02,engineering,166667
EMP-0242,ENT-03,operations,166667
EMP-0243,ENT-04,commercial,166667
EMP-0244,ENT-05,support,166667
EMP-0245,ENT-06,engineering,166667
EMP-0246,ENT-02,operations,166667
EMP-0247,ENT-03,commercial,166667
EMP-0248,ENT-04,support,166667
EMP-0249,ENT-05,engineering,166667
EMP-0250,ENT-06,operations,166667
EMP-0251,ENT-02,commercial,166667
EMP-0252,ENT-03,support,166667
EMP-0253,ENT-04,engineering,166667
EMP-0254,ENT-05,operations,166667
EMP-0255,ENT-06,commercial,166667
EMP-0256,ENT-02,support,166667
EMP-0257,ENT-03,engineering,166667
EMP-0258,ENT-04,operations,166667
EMP-0259,ENT-05,commercial,166667
EMP-0260,ENT-06,support,166667
EMP-0261,ENT-02,engineering,166667
EMP-0262,ENT-03,operations,166667
EMP-0263,ENT-04,commercial,166667
EMP-0264,ENT-05,support,166667
EMP-0265,ENT-06,engineering,166667
EMP-0266,ENT-02,operations,166667
EMP-0267,ENT-03,commercial,166667
EMP-0268,ENT-04,support,166667
EMP-0269,ENT-05,engineering,166667
EMP-0270,ENT-06,operations,166667
EMP-0271,ENT-02,commercial,166667
EMP-0272,ENT-03,support,166667
EMP-0273,ENT-04,engineering,166667
EMP-0274,ENT-05,operations,166667
EMP-0275,ENT-06,commercial,166667
EMP-0276,ENT-02,support,166667
EMP-0277,ENT-03,engineering,166667
EMP-0278,ENT-04,operations,166667
EMP-0279,ENT-05,commercial,166667
EMP-0280,ENT-06,support,166667
EMP-0281,ENT-02,engineering,166667
EMP-0282,ENT-03,operations,166667
EMP-0283,ENT-04,commercial,166667
EMP-0284,ENT-05,support,166667
EMP-0285,ENT-06,engineering,166667
EMP-0286,ENT-02,operations,166667
EMP-0287,ENT-03,commercial,166667
EMP-0288,ENT-04,support,166667
EMP-0289,ENT-05,engineering,166667
EMP-0290,ENT-06,operations,166667
EMP-0291,ENT-02,commercial,166667
EMP-0292,ENT-03,support,166667
EMP-0293,ENT-04,engineering,166667
EMP-0294,ENT-05,operations,166667
EMP-0295,ENT-06,commercial,166667
EMP-0296,ENT-02,support,166667
EMP-0297,ENT-03,engineering,166667
EMP-0298,ENT-04,operations,166667
EMP-0299,ENT-05,commercial,166667
EMP-0300,ENT-06,support,166667
EMP-0301,ENT-02,engineering,166667
EMP-0302,ENT-03,operations,166667
EMP-0303,ENT-04,commercial,166667
EMP-0304,ENT-05,support,166667
EMP-0305,ENT-06,engineering,166667
EMP-0306,ENT-02,operations,166667
EMP-0307,ENT-03,commercial,166667
EMP-0308,ENT-04,support,166667
EMP-0309,ENT-05,engineering,166667
EMP-0310,ENT-06,operations,166667
EMP-0311,ENT-02,commercial,166667
EMP-0312,ENT-03,support,166667
EMP-0313,ENT-04,engineering,166667
EMP-0314,ENT-05,operations,166667
EMP-0315,ENT-06,commercial,166667
EMP-0316,ENT-02,support,166667
EMP-0317,ENT-03,engineering,166667
EMP-0318,ENT-04,operations,166667
EMP-0319,ENT-05,commercial,166667
EMP-0320,ENT-06,support,166667
EMP-0321,ENT-02,engineering,166667
EMP-0322,ENT-03,operations,166667
EMP-0323,ENT-04,commercial,166667
EMP-0324,ENT-05,support,166667
EMP-0325,ENT-06,engineering,166667
EMP-0326,ENT-02,operations,166667
EMP-0327,ENT-03,commercial,166667
EMP-0328,ENT-04,support,166667
EMP-0329,ENT-05,engineering,166667
EMP-0330,ENT-06,operations,166667
EMP-0331,ENT-02,commercial,166667
EMP-0332,ENT-03,support,166667
EMP-0333,ENT-04,engineering,166667
EMP-0334,ENT-05,operations,166667
EMP-0335,ENT-06,commercial,166667
EMP-0336,ENT-02,support,166667
EMP-0337,ENT-03,engineering,166667
EMP-0338,ENT-04,operations,166667
EMP-0339,ENT-05,commercial,166667
EMP-0340,ENT-06,support,166667
EMP-0341,ENT-02,engineering,166667
EMP-0342,ENT-03,operations,166667
EMP-0343,ENT-04,commercial,166667
EMP-0344,ENT-05,support,166667
EMP-0345,ENT-06,engineering,166667
EMP-0346,ENT-02,operations,166667
EMP-0347,ENT-03,commercial,166667
EMP-0348,ENT-04,support,166667
EMP-0349,ENT-05,engineering,166667
EMP-0350,ENT-06,operations,166667
EMP-0351,ENT-02,commercial,166667
EMP-0352,ENT-03,support,166667
EMP-0353,ENT-04,engineering,166667
EMP-0354,ENT-05,operations,166667
EMP-0355,ENT-06,commercial,166667
EMP-0356,ENT-02,support,166667
EMP-0357,ENT-03,engineering,166667
EMP-0358,ENT-04,operations,166667
EMP-0359,ENT-05,commercial,166667
EMP-0360,ENT-06,support,166667
EMP-0361,ENT-02,engineering,166667
EMP-0362,ENT-03,operations,166667
EMP-0363,ENT-04,commercial,166667
EMP-0364,ENT-05,support,166667
EMP-0365,ENT-06,engineering,166667
EMP-0366,ENT-02,operations,166667
EMP-0367,ENT-03,commercial,166667
EMP-0368,ENT-04,support,166667
EMP-0369,ENT-05,engineering,166667
EMP-0370,ENT-06,operations,166667
EMP-0371,ENT-02,commercial,166667
EMP-0372,ENT-03,support,166667
EMP-0373,ENT-04,engineering,166667
EMP-0374,ENT-05,operations,166667
EMP-0375,ENT-06,commercial,166667
EMP-0376,ENT-02,support,166667
EMP-0377,ENT-03,engineering,166667
EMP-0378,ENT-04,operations,166667
EMP-0379,ENT-05,commercial,166667
EMP-0380,ENT-06,support,166667
EMP-0381,ENT-02,engineering,166667
EMP-0382,ENT-03,operations,166667
EMP-0383,ENT-04,commercial,166667
EMP-0384,ENT-05,support,166667
EMP-0385,ENT-06,engineering,166667
EMP-0386,ENT-02,operations,166667
EMP-0387,ENT-03,commercial,166667
EMP-0388,ENT-04,support,166667
EMP-0389,ENT-05,engineering,166667
EMP-0390,ENT-06,operations,166667
EMP-0391,ENT-02,commercial,166667
EMP-0392,ENT-03,support,166667
EMP-0393,ENT-04,engineering,166667
EMP-0394,ENT-05,operations,166667
EMP-0395,ENT-06,commercial,166667
EMP-0396,ENT-02,support,166667
EMP-0397,ENT-03,engineering,166667
EMP-0398,ENT-04,operations,166667
EMP-0399,ENT-05,commercial,166667
EMP-0400,ENT-06,support,166667
EMP-0401,ENT-02,engineering,166667
EMP-0402,ENT-03,operations,166667
EMP-0403,ENT-04,commercial,166667
EMP-0404,ENT-05,support,166667
EMP-0405,ENT-06,engineering,166667
EMP-0406,ENT-02,operations,166667
EMP-0407,ENT-03,commercial,166667
EMP-0408,ENT-04,support,166667
EMP-0409,ENT-05,engineering,166667
EMP-0410,ENT-06,operations,166667
EMP-0411,ENT-02,commercial,166667
EMP-0412,ENT-03,support,166667
EMP-0413,ENT-04,engineering,166667
EMP-0414,ENT-05,operations,166667
EMP-0415,ENT-06,commercial,166667
EMP-0416,ENT-02,support,166667
EMP-0417,ENT-03,engineering,166667
EMP-0418,ENT-04,operations,166667
EMP-0419,ENT-05,commercial,166667
EMP-0420,ENT-06,support,166667
EMP-0421,ENT-02,engineering,166667
EMP-0422,ENT-03,operations,166667
EMP-0423,ENT-04,commercial,166667
EMP-0424,ENT-05,support,166667
EMP-0425,ENT-06,engineering,166667
EMP-0426,ENT-02,operations,166667
EMP-0427,ENT-03,commercial,166667
EMP-0428,ENT-04,support,166667
EMP-0429,ENT-05,engineering,166667
EMP-0430,ENT-06,operations,166667
EMP-0431,ENT-02,commercial,166667
EMP-0432,ENT-03,support,166667
EMP-0433,ENT-04,engineering,166667
EMP-0434,ENT-05,operations,166667
EMP-0435,ENT-06,commercial,166667
EMP-0436,ENT-02,support,166667
EMP-0437,ENT-03,engineering,166667
EMP-0438,ENT-04,operations,166667
EMP-0439,ENT-05,commercial,166667
EMP-0440,ENT-06,support,166667
EMP-0441,ENT-02,engineering,166667
EMP-0442,ENT-03,operations,166667
EMP-0443,ENT-04,commercial,166667
EMP-0444,ENT-05,support,166667
EMP-0445,ENT-06,engineering,166667
EMP-0446,ENT-02,operations,166667
EMP-0447,ENT-03,commercial,166667
EMP-0448,ENT-04,support,166667
EMP-0449,ENT-05,engineering,166667
EMP-0450,ENT-06,operations,166667
EMP-0451,ENT-02,commercial,166667
EMP-0452,ENT-03,support,166667
EMP-0453,ENT-04,engineering,166667
EMP-0454,ENT-05,operations,166667
EMP-0455,ENT-06,commercial,166667
EMP-0456,ENT-02,support,166667
EMP-0457,ENT-03,engineering,166667
EMP-0458,ENT-04,operations,166667
EMP-0459,ENT-05,commercial,166667
EMP-0460,ENT-06,support,166667
EMP-0461,ENT-02,engineering,166667
EMP-0462,ENT-03,operations,166667
EMP-0463,ENT-04,commercial,166667
EMP-0464,ENT-05,support,166667
EMP-0465,ENT-06,engineering,166667
EMP-0466,ENT-02,operations,166667
EMP-0467,ENT-03,commercial,166667
EMP-0468,ENT-04,support,166667
EMP-0469,ENT-05,engineering,166667
EMP-0470,ENT-06,operations,166667
EMP-0471,ENT-02,commercial,166667
EMP-0472,ENT-03,support,166667
EMP-0473,ENT-04,engineering,166667
EMP-0474,ENT-05,operations,166667
EMP-0475,ENT-06,commercial,166667
EMP-0476,ENT-02,support,166667
EMP-0477,ENT-03,engineering,166667
EMP-0478,ENT-04,operations,166667
EMP-0479,ENT-05,commercial,166667
EMP-0480,ENT-06,support,166667
EMP-0481,ENT-02,engineering,166667
EMP-0482,ENT-03,operations,166667
EMP-0483,ENT-04,commercial,166667
EMP-0484,ENT-05,support,166667
EMP-0485,ENT-06,engineering,166667
EMP-0486,ENT-02,operations,166667
EMP-0487,ENT-03,commercial,166667
EMP-0488,ENT-04,support,166667
EMP-0489,ENT-05,engineering,166667
EMP-0490,ENT-06,operations,166667
EMP-0491,ENT-02,commercial,166667
EMP-0492,ENT-03,support,166667
EMP-0493,ENT-04,engineering,166667
EMP-0494,ENT-05,operations,166667
EMP-0495,ENT-06,commercial,166667
EMP-0496,ENT-02,support,166667
EMP-0497,ENT-03,engineering,166667
EMP-0498,ENT-04,operations,166667
EMP-0499,ENT-05,commercial,166667
EMP-0500,ENT-06,support,166667
EMP-0501,ENT-02,engineering,166667
EMP-0502,ENT-03,operations,166667
EMP-0503,ENT-04,commercial,166667
EMP-0504,ENT-05,support,166667
EMP-0505,ENT-06,engineering,166667
EMP-0506,ENT-02,operations,166667
EMP-0507,ENT-03,commercial,166667
EMP-0508,ENT-04,support,166667
EMP-0509,ENT-05,engineering,166667
EMP-0510,ENT-06,operations,166667
EMP-0511,ENT-02,commercial,166667
EMP-0512,ENT-03,support,166667
EMP-0513,ENT-04,engineering,166667
EMP-0514,ENT-05,operations,166667
EMP-0515,ENT-06,commercial,166667
EMP-0516,ENT-02,support,166667
EMP-0517,ENT-03,engineering,166667
EMP-0518,ENT-04,operations,166667
EMP-0519,ENT-05,commercial,166667
EMP-0520,ENT-06,support,166667
EMP-0521,ENT-02,engineering,166667
EMP-0522,ENT-03,operations,166667
EMP-0523,ENT-04,commercial,166667
EMP-0524,ENT-05,support,166667
EMP-0525,ENT-06,engineering,166667
EMP-0526,ENT-02,operations,166667
EMP-0527,ENT-03,commercial,166667
EMP-0528,ENT-04,support,166667
EMP-0529,ENT-05,engineering,166667
EMP-0530,ENT-06,operations,166667
EMP-0531,ENT-02,commercial,166667
EMP-0532,ENT-03,support,166667
EMP-0533,ENT-04,engineering,166667
EMP-0534,ENT-05,operations,166667
EMP-0535,ENT-06,commercial,166667
EMP-0536,ENT-02,support,166667
EMP-0537,ENT-03,engineering,166667
EMP-0538,ENT-04,operations,166667
EMP-0539,ENT-05,commercial,166667
EMP-0540,ENT-06,support,166667
EMP-0541,ENT-02,engineering,166667
EMP-0542,ENT-03,operations,166667
EMP-0543,ENT-04,commercial,166667
EMP-0544,ENT-05,support,166667
EMP-0545,ENT-06,engineering,166667
EMP-0546,ENT-02,operations,166667
EMP-0547,ENT-03,commercial,166667
EMP-0548,ENT-04,support,166667
EMP-0549,ENT-05,engineering,166667
EMP-0550,ENT-06,operations,166667
EMP-0551,ENT-02,commercial,166667
EMP-0552,ENT-03,support,166667
EMP-0553,ENT-04,engineering,166667
EMP-0554,ENT-05,operations,166667
EMP-0555,ENT-06,commercial,166667
EMP-0556,ENT-02,support,166667
EMP-0557,ENT-03,engineering,166667
EMP-0558,ENT-04,operations,166667
EMP-0559,ENT-05,commercial,166667
EMP-0560,ENT-06,support,166667
EMP-0561,ENT-02,engineering,166667
EMP-0562,ENT-03,operations,166667
EMP-0563,ENT-04,commercial,166667
EMP-0564,ENT-05,support,166667
EMP-0565,ENT-06,engineering,166667
EMP-0566,ENT-02,operations,166667
EMP-0567,ENT-03,commercial,166667
EMP-0568,ENT-04,support,166667
EMP-0569,ENT-05,engineering,166667
EMP-0570,ENT-06,operations,166667
EMP-0571,ENT-02,commercial,166667
EMP-0572,ENT-03,support,166667
EMP-0573,ENT-04,engineering,166667
EMP-0574,ENT-05,operations,166667
EMP-0575,ENT-06,commercial,166667
EMP-0576,ENT-02,support,166667
EMP-0577,ENT-03,engineering,166667
EMP-0578,ENT-04,operations,166667
EMP-0579,ENT-05,commercial,166667
EMP-0580,ENT-06,support,166667
EMP-0581,ENT-02,engineering,166667
EMP-0582,ENT-03,operations,166667
EMP-0583,ENT-04,commercial,166667
EMP-0584,ENT-05,support,166667
EMP-0585,ENT-06,engineering,166667
EMP-0586,ENT-02,operations,166667
EMP-0587,ENT-03,commercial,166667
EMP-0588,ENT-04,support,166667
EMP-0589,ENT-05,engineering,166667
EMP-0590,ENT-06,operations,166667
EMP-0591,ENT-02,commercial,166667
EMP-0592,ENT-03,support,166667
EMP-0593,ENT-04,engineering,166667
EMP-0594,ENT-05,operations,166667
EMP-0595,ENT-06,commercial,166667
EMP-0596,ENT-02,support,166667
EMP-0597,ENT-03,engineering,166667
EMP-0598,ENT-04,operations,166667
EMP-0599,ENT-05,commercial,166667
EMP-0600,ENT-06,support,166667
EMP-0601,ENT-02,engineering,166667
EMP-0602,ENT-03,operations,166667
EMP-0603,ENT-04,commercial,166667
EMP-0604,ENT-05,support,166667
EMP-0605,ENT-06,engineering,166667
EMP-0606,ENT-02,operations,166667
EMP-0607,ENT-03,commercial,166667
EMP-0608,ENT-04,support,166667
EMP-0609,ENT-05,engineering,166667
EMP-0610,ENT-06,operations,166667
EMP-0611,ENT-02,commercial,166667
EMP-0612,ENT-03,support,166667
EMP-0613,ENT-04,engineering,166667
EMP-0614,ENT-05,operations,166667
EMP-0615,ENT-06,commercial,166667
EMP-0616,ENT-02,support,166667
EMP-0617,ENT-03,engineering,166667
EMP-0618,ENT-04,operations,166667
EMP-0619,ENT-05,commercial,166667
EMP-0620,ENT-06,support,166667
EMP-0621,ENT-02,engineering,166667
EMP-0622,ENT-03,operations,166667
EMP-0623,ENT-04,commercial,166667
EMP-0624,ENT-05,support,166667
EMP-0625,ENT-06,engineering,166667
EMP-0626,ENT-02,operations,166667
EMP-0627,ENT-03,commercial,166667
EMP-0628,ENT-04,support,166667
EMP-0629,ENT-05,engineering,166667
EMP-0630,ENT-06,operations,166667
EMP-0631,ENT-02,commercial,166667
EMP-0632,ENT-03,support,166667
EMP-0633,ENT-04,engineering,166667
EMP-0634,ENT-05,operations,166667
EMP-0635,ENT-06,commercial,166667
EMP-0636,ENT-02,support,166667
EMP-0637,ENT-03,engineering,166667
EMP-0638,ENT-04,operations,166667
EMP-0639,ENT-05,commercial,166667
EMP-0640,ENT-06,support,166667
EMP-0641,ENT-02,engineering,166667
EMP-0642,ENT-03,operations,166667
EMP-0643,ENT-04,commercial,166667
EMP-0644,ENT-05,support,166667
EMP-0645,ENT-06,engineering,166667
EMP-0646,ENT-02,operations,166667
EMP-0647,ENT-03,commercial,166667
EMP-0648,ENT-04,support,166667
EMP-0649,ENT-05,engineering,166667
EMP-0650,ENT-06,operations,166667
EMP-0651,ENT-02,commercial,166667
EMP-0652,ENT-03,support,166667
EMP-0653,ENT-04,engineering,166667
EMP-0654,ENT-05,operations,166667
EMP-0655,ENT-06,commercial,166667
EMP-0656,ENT-02,support,166667
EMP-0657,ENT-03,engineering,166667
EMP-0658,ENT-04,operations,166667
EMP-0659,ENT-05,commercial,166667
EMP-0660,ENT-06,support,166667
EMP-0661,ENT-02,engineering,166667
EMP-0662,ENT-03,operations,166667
EMP-0663,ENT-04,commercial,166667
EMP-0664,ENT-05,support,166667
EMP-0665,ENT-06,engineering,166667
EMP-0666,ENT-02,operations,166667
EMP-0667,ENT-03,commercial,166667
EMP-0668,ENT-04,support,166667
EMP-0669,ENT-05,engineering,166667
EMP-0670,ENT-06,operations,166667
EMP-0671,ENT-02,commercial,166667
EMP-0672,ENT-03,support,166667
EMP-0673,ENT-04,engineering,166667
EMP-0674,ENT-05,operations,166667
EMP-0675,ENT-06,commercial,166667
EMP-0676,ENT-02,support,166667
EMP-0677,ENT-03,engineering,166667
EMP-0678,ENT-04,operations,166667
EMP-0679,ENT-05,commercial,166667
EMP-0680,ENT-06,support,166667
EMP-0681,ENT-02,engineering,166667
EMP-0682,ENT-03,operations,166667
EMP-0683,ENT-04,commercial,166667
EMP-0684,ENT-05,support,166667
EMP-0685,ENT-06,engineering,166667
EMP-0686,ENT-02,operations,166667
EMP-0687,ENT-03,commercial,166667
EMP-0688,ENT-04,support,166667
EMP-0689,ENT-05,engineering,166667
EMP-0690,ENT-06,operations,166667
EMP-0691,ENT-02,commercial,166667
EMP-0692,ENT-03,support,166667
EMP-0693,ENT-04,engineering,166667
EMP-0694,ENT-05,operations,166667
EMP-0695,ENT-06,commercial,166667
EMP-0696,ENT-02,support,166667
EMP-0697,ENT-03,engineering,166667
EMP-0698,ENT-04,operations,166667
EMP-0699,ENT-05,commercial,166667
EMP-0700,ENT-06,support,166667
EMP-0701,ENT-02,engineering,166667
EMP-0702,ENT-03,operations,166667
EMP-0703,ENT-04,commercial,166667
EMP-0704,ENT-05,support,166667
EMP-0705,ENT-06,engineering,166667
EMP-0706,ENT-02,operations,166667
EMP-0707,ENT-03,commercial,166667
EMP-0708,ENT-04,support,166667
EMP-0709,ENT-05,engineering,166667
EMP-0710,ENT-06,operations,166667
EMP-0711,ENT-02,commercial,166667
EMP-0712,ENT-03,support,166667
EMP-0713,ENT-04,engineering,166667
EMP-0714,ENT-05,operations,166667
EMP-0715,ENT-06,commercial,166667
EMP-0716,ENT-02,support,166667
EMP-0717,ENT-03,engineering,166667
EMP-0718,ENT-04,operations,166667
EMP-0719,ENT-05,commercial,166667
EMP-0720,ENT-06,support,166667
EMP-0721,ENT-02,engineering,166667
EMP-0722,ENT-03,operations,166667
EMP-0723,ENT-04,commercial,166667
EMP-0724,ENT-05,support,166667
